source,target,prediction
Jarke J. van Wijk,Jacques Ferber,N
Marc Uetz,Jacques Palicot,N
Jonathan Nissanov,Jacques Palicot,N
Arne Hoffmann,Jacques Palicot,N
Anthony J. H. Simons,Jacques Resing,N
Chris Clifton,Jacques Resing,N
Yannis Siskos,Jacques Robin,N
Dimitris Gizopoulos,Jacques Sakarovitch,N
Rynson W. H. Lau,Jacques Sakarovitch,N
David Hawking,Jacques Savoy,N
Anthony J. Weiss,Jacques Savoy,N
Timothy N. Davidson,Jacques Savoy,N
Jie Li 0002,Jacques Savoy,N
Soh-Khim Ong,Jacques Savoy,N
Lenore D. Zuck,Jacques Savoy,N
Maxim Totrov,Jacques Verstraëte,N
Martin Knor,Jacques Wainer,N
Kwok-Tung Lo,Jacques Wainer,N
David R. Gilbert,Jacques van Helden,P
T. Warren Liao,Jacques van Helden,N
Rick L. Stevens,Jacques van Helden,N
Jay F. Nunamaker Jr.,Jadran Lenarcic,N
Richard Ehrenborg,Jadran Lenarcic,N
Athman Bouguettaya,Jadran Lenarcic,N
Mohammad Peyravian,Jadran Lenarcic,N
Kamal Jain,Jadran Lenarcic,N
Mehrdad Nourani,Jae Hong Lee,N
Omer Reingold,Jae Hong Lee,N
Douglas L. Brutlag,Jae Hong Lee,N
Massoud Pedram,Jae Hong Lee,N
Irwin King,Jae K. Lee,N
Erich Novak,Jae K. Lee,N
Kyoung Jun Lee,Jae Kyeong Kim,N
David Colton,Jae Kyeong Kim,N
Ralf Möller 0002,Jae Kyu Lee,N
Alessandro Casavola,Jae Kyu Lee,N
Yiu-ming Cheung,Jae Kyu Lee,N
Mitsushige Oda,Jae Soo Yoo,N
Seth Hutchinson,Jae Soo Yoo,N
Norio Shiratori,Jae Soo Yoo,N
Kyung-Yong Chwa,Jae-Hoon Kim 0001,P
Pablo A. Iglesias,Jae-Hoon Kim 0001,N
Andrzej Jajszczyk,Jae-Hoon Kim 0001,N
Takashi Takahashi,Jae-Hoon Kim 0001,N
Abhijit S. Pandya,Jae-Nam Lee,N
Fausto Giunchiglia,Jae-Nam Lee,N
Craig W. Kirkwood,Jae-Nam Lee,N
William Duckworth,Jae-Nam Lee,N
Dong-Il Cho,Jaehong Park,N
Ravi S. Sandhu,Jaehong Park,P
Robert S. Ledley,Jaehong Park,N
Seongwon Cho,Jaemin Kim,N
Jeffrey C. Mogul,Jaemin Kim,N
Na Li,Jaeseok Kim,N
Zhengyou Zhang,Jaeun Lee,N
Viviane Praz,Jaeun Lee,N
Nigel Ford,Jaeun Lee,N
Maarten H. van Emden,Jagath C. Rajapakse,N
Romeo Ortega,Jagath C. Rajapakse,N
David Horn,Jaideep Srivastava,N
Ingo Wegener,Jaikumar Radhakrishnan,N
Tom Mens,Jaikumar Radhakrishnan,N
Saleem N. Bhatti,Jaikumar Radhakrishnan,N
Daniel J. Rosenkrantz,Jaime E. Muñoz Rivera,N
Kaisa Miettinen,Jaime E. Muñoz Rivera,N
Raymond T. Ng,Jaime E. Muñoz Rivera,N
Jin-Soo Kim,Jaime E. Muñoz Rivera,N
Guillermo Ramírez,Jaime Fernández Rico,N
Ignacio Ema,Jaime Fernández Rico,N
Rafael López,Jaime Fernández Rico,N
Luis N. Marenco,Jaime Fernández Rico,N
Régine Le Bouquin-Jeannès,Jaime Fernández Rico,N
Péter Kacsuk,Jaime Fernández Rico,N
Elena Lodi,Jaime H. Ortega,N
Stephen Marshall,Jaime Muñoz Masqué,N
Tim Menzies,Jaime Muñoz Masqué,N
Nobu-Yuki Suzuki,Jaime Muñoz Masqué,N
Dennis N. Ocholla,Jaime Muñoz Masqué,N
Rob J. van Glabbeek,Jaime Peraire,N
Jean-Philippe Thiran,Jaime Peraire,N
Walter Kellermann,Jaime Peraire,N
Antonio Torralba 0002,Jaime Ramírez-Angulo,P
Ramón González Carvajal,Jaime Ramírez-Angulo,P
Keigo Watanabe,Jaime Ramírez-Angulo,N
Debasish Dutta,Jaime Ramírez-Angulo,N
Malgorzata Marek-Sadowska,Jaime Ramírez-Angulo,N
Gloria Bordogna,Jaime Ramírez-Angulo,N
Cecilia Metra,Jaime Ramírez-Angulo,N
Vicken R. Vorperian,Jaime Ramírez-Angulo,N
Mahmood R. Azimi-Sadjadi,Jaime Simão Sichman,N
Michael A. Jensen,Jaime Simão Sichman,N
Kar Yan Tam,Jaiyong Lee,N
Ying Xu,Jaiyong Lee,N
Markus P. J. Fromherz,Jaiyong Lee,N
Da Ruan 0001,Jaiyong Lee,N
Catherine Pelachaud,Jaiyong Lee,N
Eugenio Roanes-Lozano,Jake K. Aggarwal,N
Chez Ciechanowicz,Jake K. Aggarwal,N
Alison Lee,Jakka Sairamesh,N
Chung-Sheng Li,Jakka Sairamesh,P
Stuart I. Feldman,Jakka Sairamesh,N
Howard Bowman,Jakka Sairamesh,N
William A. Gruver,James A. Bednar,N
Henry D. I. Abarbanel,James A. Bednar,N
Dario Floreano,James A. Bucklew,N
Ewan Birney,James A. Cuff,N
Graham Cameron,James A. Cuff,N
Heikki Lehväslaiho,James A. Cuff,N
James A. Smith,James A. Cuff,N
Richard Durbin,James A. Cuff,N
Markus Oesker,James A. Cuff,N
Xiaola Lin,James A. Cuff,N
Robert B. Heckendorn,James A. Foster,N
Przemyslaw Prusinkiewicz,James A. Foster,N
Eric Martin 0001,James A. Foster,N
Martin Bertram 0001,James A. Foster,N
Ming Fang,James A. Foster,N
Dan Wu,James A. Hendler,N
David De Roure,James A. Hendler,N
Rudi Studer,James A. Hendler,P
Toru Ishida 0001,James A. Hendler,P
Yolanda Gil,James A. Hendler,P
Larry S. Davis,James A. Hendler,P
Alberto Porta,James A. Hendler,N
Janan T. Eppig,James A. Kadin,P
Vittorio Maniezzo,James A. Kadin,N
Gaetano Borriello,James A. Landay,P
Igor Faynberg,James A. Landay,N
Martin Funk,James A. Landay,N
Hervé Delingette,James A. Landay,N
Jeff W. Sanders,James A. Reggia,N
Sóstenes Lins,James A. Reggia,N
Young-Chai Ko,James A. Ritcey,N
Shiuh-Pyng Shieh,James A. Sellers,N
Gunter Dueck,James A. Sellers,N
Michael L. Hines,James A. Sethian,N
Emanuele Viterbo,James A. Sethian,N
Ewan Birney,James A. Smith,N
Graham Cameron,James A. Smith,N
Heikki Lehväslaiho,James A. Smith,N
Douglas C. Schmidt,James A. Smith,N
Wijnand A. IJsselsteijn,James A. Smith,N
Yaoyun Shi,James A. Smith,N
Ion I. Mandoiu,James A. Smith,N
Bo Ingvar Sandén,James A. Smith,N
Jiung-Yao Huang,James A. Smith,N
Kamel Rekab,James A. Whittaker,N
Magdy A. Bayoumi,James A. Whittaker,N
Hilary Johnson,James A. Whittaker,N
Majed Al-Mashari,James A. Whittaker,N
Hassan Masum,James A. Whittaker,N
Louis Kruh,James A. Whittaker,N
John G. Webster,James A. Will,N
Vicken R. Vorperian,James A. Will,N
Santiago Alonso-Quesada,James A. Will,N
E. Eugene Schultz,James A. Will,N
Sanqing Hu,James A. Yorke,N
Michael Pidd,James A. Yorke,N
Alfred Mertins,James A. Yorke,N
Hung-Lin Fu,James A. Yorke,N
Jane You,James A. Yorke,N
Jiaoying Shi,James A. Yorke,N
Pramod K. Varshney,James A. Yorke,N
Anton Leuski,James Allan,P
Djoerd Hiemstra,James Allan,N
Eduard H. Hovy,James Allan,P
Philip Resnik,James Allan,P
Ralph M. Weischedel,James Allan,P
Wessel Kraaij,James Allan,N
Guojin Wang,James Allan,N
Ger Koole,James Allan,N
Yoon Keun Kwak,James Aspnes,N
Schubert Foo,James Aspnes,N
Delfin Y. Montuno,James Aweya,P
Haiko Müller,James Aweya,N
Arieh Gavious,James Aweya,N
Howard J. Karloff,James Aweya,N
Marc P. C. Fossorier,James B. Nation,N
Jian Chen,James B. Nation,N
Abraham P. Punnen,James B. Orlin,P
Andreas S. Schulz,James B. Orlin,P
Dorit S. Hochbaum,James B. Orlin,P
Jian Liu,James B. Orlin,N
Maria Grazia Scutellà,James B. Orlin,N
Stefano Pallottino,James B. Orlin,N
Henry Leung,James B. Orlin,N
Françoise J. Prêteux,James B. Orlin,N
Mark Rouncefield,James B. Orlin,N
Elske Ammenwerth,James B. Orlin,N
Ezhan Karasan,James B. Orlin,N
Sergio Greco,James B. Rawlings,N
Jin Bae Park,James B. Rawlings,N
Torsten Söderström,James B. Rawlings,N
Steven Pemberton,James Backhouse,N
Miltiades E. Anagnostou,James Backhouse,N
Erik G. Ström,James C. Bezdek,N
Hajo Broersma,James C. Bezdek,N
Xilin Chen,James C. Bezdek,N
Wu Jigang,James C. Bezdek,N
Eric Galin,James C. Bezdek,N
Guan Y. Hong,James C. Bezdek,N
Robert D. Clark,James C. Gee,N
Alfonso Valencia,James C. Gee,N
Ming-Yang Kao,James C. Lin,N
Da Ruan 0001,James D. Arthur,N
François G. Meyer,James D. Arthur,N
Joshua B. Tenenbaum,James D. Arthur,N
Bharat K. Bhargava,James D. Currie,N
Hesham El Gamal,James D. Currie,N
Lori N. K. Leonard,James D. Currie,N
Christian Schlegel,James D. McKeen,N
Debra E. VanderMeer,James D. McKeen,N
Eisa A. Al-Said,James D. Meindl,N
Wilhelm Rödder,James D. Meindl,N
Kaushik Roy 0001,James Demmel,N
Stephen C. North,James Demmel,P
Walter Alexandre Carnielli,James Demmel,N
Rémi Monasson,James Demmel,N
Christine A. Orengo,James E. Bray,N
Frances M. G. Pearl,James E. Bray,N
Janet M. Thornton,James E. Bray,N
Claudio Bettini,James E. Fowler,N
Jochen Lang,James E. Fowler,N
Min-Shiang Hwang,James E. Fowler,N
Omar A. El Sawy,James E. Hunton,N
Eric Pottier,James E. Hunton,N
Dirk Dahlhaus,James E. Hunton,N
Leslie Lamport,James E. Johnson,N
Giacomo Morabito,James E. Johnson,N
Sang-Chan Park,James E. Johnson,N
Guido Moerkotte,James E. Johnson,N
Eric Torng,James E. Smith 0003,N
Marco Bove,James E. Smith 0003,N
Xiaofang Zhou,James E. Smith 0003,N
Eduardo Rivera-Campo,James E. Smith 0003,N
Susan G. Guion,James Emil Flege,N
John S. Edwards,James Emil Flege,N
Man Hyung Lee,James Emil Flege,N
Wayne D. Gray,James Emil Flege,N
Hasan Ural,James Emil Flege,N
Fred D. Davis,James Emil Flege,N
Herbert Edelsbrunner,James Emil Flege,N
Dario Pacciarelli,James F. Blinn,N
Sheng-Gang Li,James F. Blinn,N
Peter Rossmanith,James F. Blinn,N
Huan Liu,James F. Blinn,N
Jotun Hein,James F. Blinn,N
Gelasio Salazar,James F. Geelen,N
Geoff Whittle,James F. Geelen,P
Petr Hlinený,James F. Geelen,N
Robert Mifflin,James F. Geelen,N
Pak-Chung Ching,James F. Geelen,N
Patricia Melin,James F. Korsh,N
Dan Rubenstein,James F. Kurose,P
Prashant J. Shenoy,James F. Kurose,P
Supratik Bhattacharyya,James F. Kurose,P
Rafi Nachmias,James F. Kurose,N
Bernhard Seeger,James F. Kurose,N
Sheizaf Rafaeli,James F. Kurose,N
Nicolino J. Pizzi,James F. Peters,P
Sheela Ramanna,James F. Peters,P
Lambert Spaanenburg,James F. Peters,N
Marcel Staroswiecki,James F. Peters,N
Nikos A. Vlassis,James F. Peters,N
Peter I. Corke,James F. Peters,N
William A. Gruver,James F. Peters,P
Brian A. Malloy,James F. Power,P
Peter J. Smith,James F. Power,N
Petru Eles,James F. Reed,N
Andrzej Czygrinow,James F. Reed,N
Michael V. Vyugin,James G. Nagy,N
Tatiana A. Tatusova,James G. Nagy,N
Alexandra M. Newman,James G. Oxley,N
Sammy Chan,James G. Oxley,N
Feng Tian 0008,James G. Oxley,N
Wynne W. Chin,James G. Oxley,N
Juan Pazos,James G. Oxley,N
Ioan Tomescu,James G. Oxley,N
Ali Farhoomand,James G. Raftery,N
Stephanie A. Guerlain,James G. Raftery,N
Gennaro Costagliola,James G. Raftery,N
Koh-ichi Nagao,James G. Raftery,N
Vera Sacristán,James G. Raftery,N
Latifur Khan,James G. Raftery,N
Jintae Lee,James Geller,N
Li Zhang,James Geller,P
Amir Herzberg,James Geller,P
Bala Rajagopalan,James Geller,N
Marco A. Boschetti,James Geller,N
Yongmin Zhang,James Glimm,N
Laurel A. Clyde,James Glimm,N
Saïd Salhi,James H. Anderson,N
Mark D. Griffiths,James H. Anderson,N
Brenda K. Wiederhold,James H. Anderson,N
Tor M. Aulin,James H. Anderson,N
W. C. Benton,James H. Andrews,N
Attila Kuba,James H. Andrews,N
Sabine Van Huffel,James H. Andrews,N
Enrique S. Quintana-Ortí,James H. Bramble,N
Javier Ferreiros,James H. Bramble,N
Gian Luca Foresti,James H. Bramble,N
Charles J. Colbourn,James Harland,N
William D. O'Brien Jr.,James Harland,N
Edmundo de Souza e Silva,James Harland,N
Noboru Sugie,James Harland,N
Scott Jordan,James Harley,N
Foto N. Afrati,James Harley,N
Hun-ok Lim,James Harley,N
Adnan Al-Smadi,James Harley,N
Stanley C. Ahalt,James Harley,N
Ronald N. Kostoff,James Hartley,N
Hüseyin Akçay,James Hartley,N
Vojislav B. Misic,James J. Buckley,N
D. K. Subramanian,James J. Buckley,N
Gyula O. H. Katona,James J. Buckley,N
Eneida A. Mendonça,James J. Cimino,P
Li Zhang,James J. Cimino,P
Boualem Benatallah,James J. Cimino,N
David Colton,James J. Cimino,N
Eldon Y. Li,James J. Jiang,N
Hsin-Ginn Hwang,James J. Jiang,N
Shin-Yuan Hung,James J. Jiang,N
William A. Arbaugh,James J. Jiang,N
Hideaki Takeda 0001,James J. Jiang,N
Arnaldo Spalvieri,James J. Jiang,N
Hyuck M. Kwon,James J. Jiang,N
Ruisheng Zhang,James J. Jiang,N
Kevin W. Sowerby,James K. Cavers,N
Kazuhiko Tsuda,James K. Cavers,N
Susanne C. Brenner,James K. Cavers,N
Hui Zhang,James K. Cavers,N
Aluizio F. R. Araújo,James K. Mills,N
Bonnie L. Webber,James K. Mills,N
Sungwon Kang,James K. Mills,N
Necmettin Yildirim,James Kempf,N
Mark Sanderson,James Kempf,N
Biao Huang,James Lam,N
Krzysztof Galkowski,James Lam,N
Steven X. Ding,James Lam,N
Tongwen Chen,James Lam,N
Yun Zou,James Lam,N
Zhiping Lin,James Lam,N
Zidong Wang,James Lam,N
Jian Yang 0001,James Lam,N
Pasquale Foggia,James Lam,N
Wen-Shyong Hsieh,James Leslie Keedy,N
Roger Calantone,James Leslie Keedy,N
Günther Nürnberger,James Leslie Keedy,N
Xiu Ye,James Leslie Keedy,N
Isabel Rojas,James Leslie Keedy,N
Jurriaan Hage,James M. Bieman,N
Maurizio Vincini,James M. Bieman,N
Joseph Y.-T. Leung,James M. Calvin,N
Joseph A. O'Sullivan,James M. Calvin,N
Koh-ichi Nagao,James M. Coughlan,N
Gianpiero Cattaneo,James M. Coughlan,N
Edlyn Teske,James M. Coughlan,N
Arieh Iserles,James M. Coughlan,N
Marjorie Skubic,James M. Keller,P
Michael Hanus,James M. Keller,N
Fengzhu Sun,James M. Keller,N
Xizhao Wang,James M. Keller,N
Harry Rudin,James M. Keller,N
Ruey-Feng Chang,James M. Rehg,N
Frederico R. B. Cruz,James MacGregor Smith,N
Arthur M. Farley,James MacGregor Smith,N
Francisco Torrens,James MacGregor Smith,N
Nick Parlante,James MacGregor Smith,N
Giancarlo Succi,James Miller,N
Hui-Chin Tang,James Miller,N
Elizabeth Scott,James Miller,N
Haim Kaplan,James Miller,P
Cheng Li,James Miller,N
Roberto Scopigno,James Miller,N
Paola Velardi,James N. K. Liu,N
Liang-Gee Chen,James N. K. Liu,N
Hemant V. Kher,James N. K. Liu,N
Gian Carlo Filligoi,James N. Turner,N
H. Van Dyke Parunak,James Odell,P
Mitchell Fleischer,James Odell,N
Keith Decker,James Odell,P
Charles Oppenheim,James Odell,N
Kewen Wang,James P. Delgrande,N
Stephen Taylor,James P. Delgrande,N
George Janelidze,James P. Delgrande,N
David J. Pym,James P. Delgrande,N
Ravi Bapna,James P. Delgrande,N
Hon-Shiang Lau,James P. Delgrande,N
Michael L. Overton,James P. Delgrande,N
Andrea De Lucia,James R. Cordy,N
Giuseppe De Giacomo,James R. Cordy,N
Domenico Beneventano,James R. Cordy,N
Michel X. Goemans,James R. Cordy,N
Mustafa Demirci,James R. Goodman,N
Bart De Moor,James R. Goodman,N
Darko Kirovski,James R. Lewis,N
Marcel Bergerman,James R. Lewis,N
Ozan K. Tonguz,James R. Marsden,N
Harald C. Gall,James R. Marsden,N
Diane J. Cook,James R. McDonald,N
Peter Borm,James R. McDonald,N
Robert R. Bitmead,James R. Zeidler,N
Leonid Libkin,James R. Zeidler,N
Chris Kyriakakis,James R. Zeidler,N
Luca Cardelli,James R. Zeidler,N
Craig Schlenoff,James S. Albus,N
Robert L. Williams II,James S. Albus,N
Sune R. J. Axelsson,James S. Albus,N
Olivier Bonaventure,James S. Albus,N
Yang Chen,James S. Albus,N
Haili Chui,James S. Duncan,P
Graham E. Fagg,James S. Plank,P
Gregor Engels,James S. Plank,N
Teng Joon Lim,James S. Plank,N
Kang Zhang,James Schummer,N
Ming Ge,James T. Lin,N
Lothar Thiele,James T. Lin,N
Magid Igbaria,James T. Lin,N
Michael L. Overton,James V. Burke,N
Rickard Danell,James V. Burke,N
András Fiser,James V. Burke,N
Valdis Berzins,James V. Burke,N
Vassilios S. Verykios,James V. Hansen,N
Edward H. Shortliffe,James V. Hansen,N
Seyed Alireza Zekavat,James V. Hansen,N
Frank Klawonn,James Worrell 0001,N
Karl-Heinz Glatting,James Worrell 0001,N
Dennis F. Galletta,James Y. L. Thong,N
Kar Yan Tam,James Y. L. Thong,N
John N. Carter,James Y. L. Thong,N
Sergio Bampi,James Y. L. Thong,N
Fernando A. C. Gomide,James Y. L. Thong,N
Yasuo Kuniyoshi,James Y. L. Thong,N
Yee Leung,James Y. L. Thong,N
Christoph Rücker,James Ze Wang,N
Kar-Han Tan,James Ze Wang,N
C. A. Middelburg,Jan A. Bergstra,N
Alexander Medvedev,Jan A. Bergstra,N
Katsuki Fujisawa,Jan A. Bergstra,N
Gerhard P. Fettweis,Jan A. Van Mieghem,N
Hans Weigand,Jan A. Van Mieghem,N
Hadas Shachnai,Jan Arne Telle,P
Dragoslav D. Siljak,Jan Arne Telle,N
Catherine Garbay,Jan Arne Telle,N
Haniph A. Latchman,Jan Arne Telle,N
Kwang-Hyun Cho,Jan Arne Telle,N
Dieter Kranzlmüller,Jan Arne Telle,N
L. Venkata Subramaniam,Jan Bormans,N
Xiao-Shan Gao,Jan Bormans,N
Bernhard Seeger,Jan Bormans,N
Gilles Aubert,Jan Bormans,N
Robert Harrison,Jan Bormans,N
Antonio Camurri,Jan Bormans,N
Guy Louchard,Jan Bormans,N
Roman Slowinski,Jan Bormans,N
Hans van Vliet,Jan Bosch,N
Lars Lundberg,Jan Bosch,P
Bibhas Chandra Giri,Jan Bosch,N
Bart Kuijpers,Jan Chomicki,P
Dina Q. Goldin,Jan Chomicki,P
Marcelo Arenas,Jan Chomicki,P
Xin He,Jan Chomicki,N
Kuo-Bin Li,Jan Chomicki,N
Mihaela van der Schaar,Jan Cornelis 0001,N
Tim Sheard,Jan Cornelis 0001,N
Michael F. Worboys,Jan Cornelis 0001,N
Afzel Noore,Jan Cornelis 0001,N
Amparo Fúster-Sabater,Jan Cornelis 0001,N
Parimal Pal Chaudhuri,Jan Daciuk,N
Ralf Steinmetz,Jan Daciuk,N
Dinesh G. Sarvate,Jan Flusser,N
Paul De Bra,Jan Flusser,N
Hans Zantema,Jan Friso Groote,P
Jaco van de Pol,Jan Friso Groote,P
Michel A. Reniers,Jan Friso Groote,P
Onno J. Boxma,Jan Friso Groote,N
Jan Karel Lenstra,Jan Friso Groote,P
Akhil Kumar 0001,Jan Friso Groote,N
Po-Whei Huang,Jan Friso Groote,N
Charles J. Colbourn,Jan Friso Groote,N
Ulf Assarsson,Jan Gorodkin,N
Joseph Fong,Jan Gorodkin,N
Ann Lantz,Jan Gulliksen,N
Carl Åborg,Jan Gulliksen,N
Gregg C. Vanderheiden,Jan Gulliksen,N
Seiji Inokuchi,Jan Gulliksen,N
Jan van Leeuwen,Jan H. M. Korst,P
Yair Bartal,Jan H. M. Korst,P
Allen Van Gelder,Jan H. M. Korst,N
Xiangzhen Qiao,Jan H. M. Korst,N
Fritz Wysotzki,Jan H. M. Korst,N
Wassim M. Haddad,Jan H. P. Eloff,N
Keith Whisnant,Jan H. P. Eloff,N
Hideki Imai,Jan J. M. M. Rutten,N
Ioan Tabus,Jan J. M. M. Rutten,N
José R. Casar Corredera,Jan J. M. M. Rutten,N
Cheng Li,Jan J. M. M. Rutten,N
Kazuo Kiguchi,Jan Jakubik,N
Kostas Zografos,Jan Jakubik,N
Daniel Sánchez 0001,Jan Jakubik,N
Glenn W. Parsons,Jan Jakubik,N
Eytan Domany,Jan Jakubik,N
Han Hoogeveen,Jan Karel Lenstra,P
Jirí Sgall,Jan Karel Lenstra,P
R. Ravi 0001,Jan Karel Lenstra,P
Luca Macchiarulo,Jan Karel Lenstra,N
Laurent Massoulié,Jan Karel Lenstra,N
Paul Grünbacher,Jan Karel Lenstra,N
Jurek Czyzowicz,Jan Karel Lenstra,P
Mauricio G. C. Resende,Jan Karel Lenstra,N
Fumio Kanehiro,Jan Karel Lenstra,N
Gabriel Curio,Jan Karel Lenstra,N
James A. Sellers,Jan Karel Lenstra,N
T. Warren Liao,Jan Karel Lenstra,N
Ian Alexander,Jan Krajícek,N
Francesc Comellas,Jan Krajícek,N
Vladimir Brusic,Jan Krajícek,N
Sergei O. Kuznetsov,Jan Krajícek,N
Alfred Kobsa,Jan Krikke,N
Gerhard Starke,Jan Krikke,N
Savitha Srinivasan,Jan Krikke,N
Hans-Ulrich Prokosch,Jan L. Talmon,N
Diane H. Sonnenwald,Jan L. Talmon,N
Maciej Drozdowski,Jan L. Talmon,N
Hui Lin 0002,Jan Lunze,N
Christian Lubich,Jan M. Noyes,N
Nikolaos M. Avouris,Jan M. Noyes,N
Dong-Ho Lee,Jan M. Noyes,N
Edward F. Schmeichel,Jan M. Rabaey,N
Punam K. Saha,Jan M. Rabaey,N
N. Sridharan,Jan M. Rabaey,N
Jianmin Zheng,Jan Noyes,N
Bertrand Meyer 0001,Jan Noyes,N
Max Mühlhäuser,Jan O. Borchers,P
Alessandro Giua,Jan O. Borchers,N
Karl-Dirk Kammeyer,Jan O. Borchers,N
Enrico Capobianco,Jan O. Borchers,N
Eric O. Postma,Jan O. Borchers,N
Ralf Hinze,Jan O. Borchers,N
Emmanuel Thanassoulis,Jan P. Allebach,N
Mandava Rajeswari,Jan Pries-Heje,N
Moshe Y. Vardi,Jan Pries-Heje,N
Michael A. Zazanis,Jan Pries-Heje,N
Kumar Rajaram,Jan Pries-Heje,N
Dexue Zhang,Jan Treur,N
Ling Zhang,Jan Treur,N
Albert Burger,Jan Treur,N
Jerzy Tyszkiewicz,Jan Van den Bussche,P
Patrick Solé,Jan Van den Bussche,N
Colin F. Mackenzie,Jan Van den Bussche,N
Joaquín Míguez,Jan Van den Bussche,N
Guido Dedene,Jan Vanthienen,P
Rudy Setiono,Jan Vanthienen,N
Stijn Viaene,Jan Vanthienen,P
Hiroshi Yasuda,Jan Vanthienen,N
Vimal Singh,Jan Vanthienen,N
Solomon Eyal Shimony,Jan Vanthienen,N
Laurent Falquet,Jan Vanthienen,N
Markus Bläser,Jan Verschelde,N
Hiroshi Murase,Jan Verschelde,N
Ron Weiss,Jan Verschelde,N
Ivan Rapaport,Jan Verschelde,N
Robert Goldblatt,Jan Verschelde,N
René Schott,Jan Verschelde,N
Peter Sewell,Jan Vitek,P
Steven D. Galbraith,Jan Vitek,N
Claus-Wilhelm von der Lieth,Jan Vitek,N
Zofia Adamowicz,Jan Wolenski,N
Frederik Maes,Jan Wolenski,N
D. Petkov,Jan Wolenski,N
Guy Perrière,Jan Wuyts,N
Kenji Suzuki,Jan Wuyts,N
João P. Hespanha,Jan Wuyts,N
Abdelmadjid Bouabdallah,Jan van Leeuwen,N
Norman C. Beaulieu,Jan van Leeuwen,N
Sheng-Gang Li,Jan van Leeuwen,N
Thierry Coquand,Jan von Plato,N
Yolanda Gil,Jan von Plato,N
Robert D. Macredie,Jan von Plato,N
Gábor Renner,Jan-Jan Wu,N
Sourav S. Bhowmick,Jan-Jan Wu,N
George Z. Gertner,Jan-Jan Wu,N
Grazia Lotti,Jan-Jan Wu,N
Ming-Syan Chen,Jan-Ming Ho,N
Xingxing Yu,Jan-Ming Ho,N
Thomas Wennekers,Jan-Ming Ho,N
Fabio Fagnani,Jan-Ming Ho,N
Dirk Janssens,Jan-Ming Ho,N
Benoit M. Macq,Jana Dittmann,N
Edward J. Delp,Jana Dittmann,N
Ingemar J. Cox,Jana Dittmann,N
Nasir D. Memon,Jana Dittmann,N
Pierre Duhamel,Jana Dittmann,N
Pierre Moulin,Jana Dittmann,P
Ton Kalker,Jana Dittmann,N
Andrea De Lucia,Jana Dittmann,N
Dan Archdeacon,Jana Dittmann,N
Armin Heinzl,Jana Dittmann,N
Pavel Valtr,Jana Maxová,N
Amit Sahai,Jana Maxová,N
Robert D. Howe,Janan T. Eppig,N
Yuan-Pei Lin,Janan T. Eppig,N
Carl Lagoze,Jane Hunter,P
Alexander Schrijver,Jane Hunter,N
Shu Hung Leung,Jane Hunter,N
James N. K. Liu,Jane You,P
Victor R. Lesser,Jane You,N
Marcelo Finger,Jane You,N
Volker Rehbock,Jane You,N
Frances M. G. Pearl,Janet M. Thornton,N
Tadahiro Ohmi,Janet M. Thornton,N
Anne Morris,Janet M. Thornton,N
Jim Z. C. Lai,Janet M. Thornton,N
Rocco De Nicola,Janez Zerovnik,N
Wolfgang Banzhaf,Janez Zerovnik,N
Jiong Yang,Janez Zerovnik,N
Charles U. Martel,Janez Zerovnik,N
Ujjwal Maulik,Janez Zerovnik,N
Sajal K. Das,Jang-Ping Sheu,P
Masaru Kitsuregawa,Jang-Ping Sheu,N
Daniel F. García,Jang-Ping Sheu,N
Vicent Caselles,Jang-Ping Sheu,N
Diane Lending,Janice C. Sipior,N
Dorothy E. Leidner,Janice C. Sipior,N
Linda Volonino,Janice C. Sipior,N
Susan A. Sherer,Janice C. Sipior,N
Christian Borgelt,Janice C. Sipior,N
Jou-Ming Chang,Janice C. Sipior,N
Gi-Sang Cheon,Janice C. Sipior,N
Noureddine Boudriga,Janice C. Sipior,N
Burkhard Rost,Janice I. Glasgow,N
Elaine M. Eschen,Janice I. Glasgow,N
Alexander Golbraikh,Janice I. Glasgow,N
Colin Eden,Janice I. Glasgow,N
Kee L. Teo,Janine Swaak,N
Mahmut T. Kandemir,Janine Swaak,N
Saad El-Zanati,Janine Swaak,N
Tomaz Pisanski,Janne Heikkilä,N
Krzysztof Galkowski,Janne Heikkilä,N
Ruzena Bajcsy,Janos Sztipanovits,N
Sebastian Engell,Janos Sztipanovits,N
David H. Albonesi,Janos Sztipanovits,N
Steve G. Sutton,Janos Sztipanovits,N
Marat V. Burnashev,Janos Sztipanovits,N
Shinichi Tamura,Janos Sztipanovits,N
Jian-Yun Nie,Janos Sztipanovits,N
Zoltán Ésik,Janusz A. Brzozowski,N
Peter Kemper,Janusz A. Brzozowski,N
Gordon A. Manson,Janusz A. Brzozowski,N
Ad Aertsen,Janusz A. Brzozowski,N
Jürgen Wolff von Gudenberg,Janusz A. Brzozowski,N
Kyo Kageura,Janusz A. Brzozowski,N
Dale E. Nelson,Janusz A. Starzyk,N
Feng Wang,Janusz A. Starzyk,P
Lisa Zhang,Janusz A. Starzyk,N
Vicentiu D. Radulescu,Janusz A. Starzyk,N
Philippe Nain,Janusz A. Starzyk,N
Plamen P. Angelov,Janusz A. Starzyk,N
Don Pigozzi,Janusz Czelakowski,P
Enrico Del Re,Janusz M. Bujnicki,N
Shiann-Tsong Sheu,Janusz M. Bujnicki,N
Max J. Egenhofer,Janusz M. Bujnicki,N
